DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;NOV 2020;MÉDICO CLÍNICO;12;18;216;;10;;120;-96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;NOV 2020;MÉDICO CLÍNICO;24;;;;4;;96;96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;NOV 2020;MÉDICO PEDIATRA;24;;;;2;;48;48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;NOV 2020;MÉDICO PEDIATRA;12;12;144;;8;;96;-48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;ASSISTENTE SOCIAL;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;AUXILIAR DE SAÚDE BUCAL;30;1;30;1;;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;AUXILIAR DE SAÚDE BUCAL;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;DENTISTA;20;4;80;;4;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;ENFERMEIRO;40;4;160;;4;;160;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;FARMACÊUTICO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-035/2020 A TA-036/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;NOV 2020;MÉDICO CLÍNICO;20;5;100;;3;;60;-40
