DESCRIÇÃO_CONTRATO;DESCRIÇÃO_CONTRATADA;DESCRIÇÃO_UNIDADE;DESCRIÇÃO_SERVIÇO;DESCRIÇÃO_PERÍODO;CARGO_EQUIPE_MÍNIMA;CARGA_HORÁRIA_SEMANAL;EQUIPE_MÍNIMA_CONTRATADA;TOTAL_CARGA_HORÁRIA_CONTRATADA;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_SP;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_CLT;TIPO_CONTRATAÇÃO_PREFEITURA_MUNICÍPIO_OS_TERCEIROS;TOTAL_HORAS_APONTADAS;AVALIAÇÃO
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;24;;;;2;;48;48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;36;;;;1;;36;36
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;12;18;216;;11;;132;-84
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;12;12;144;;8;;96;-48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;24;;;;2;;48;48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;ASSISTENTE SOCIAL;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;AUXILIAR DE SAÚDE BUCAL;30;1;30;1;;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;AUXILIAR DE SAÚDE BUCAL;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;DENTISTA;20;4;80;;4;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;ENFERMEIRO;40;4;160;;4;;160;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;FARMACÊUTICO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO CLÍNICO;20;5;100;;4;;80;-20
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO GINECOLOGISTA E OBSTETRA;20;4;80;;3;;60;-20
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO PEDIATRA;20;2;40;;2;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA JARDIM JOAMAR ;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;PSICÓLOGO;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;12;18;216;;10;;120;-96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;24;;;;4;;96;96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;12;12;144;;8;;96;-48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;24;;;;2;;48;48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAR 2020;AGENTE COMUNITÁRIO DE SAÚDE;40;12;480;;10;;400;-80
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAR 2020;AUXILIAR DE SAÚDE BUCAL;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAR 2020;DENTISTA;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAR 2020;ENFERMEIRO;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA LAUZANE PAULISTA;ESF - ESTRATÉGIA SAÚDE DA FAMILIA;MAR 2020;MÉDICO GENERALISTA;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;24;;;;2;;48;48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO CLÍNICO;12;18;216;;14;;168;-48
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;24;;;;4;;96;96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;AMA - ASSISTÊNCIA MÉDICA AMBULATORIAL;MAR 2020;MÉDICO PEDIATRA;12;12;144;;4;;48;-96
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;PAI  - PROGRAMA DE ACOMPANHANTE DE IDOSO;MAR 2020;ACOMPANHANTE DE IDOSO;40;10;400;;10;;400;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;PAI  - PROGRAMA DE ACOMPANHANTE DE IDOSO;MAR 2020;ENFERMEIRO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;PAI  - PROGRAMA DE ACOMPANHANTE DE IDOSO;MAR 2020;MÉDICO GERIATRA;20;1;20;;1;;20;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;PAI  - PROGRAMA DE ACOMPANHANTE DE IDOSO;MAR 2020;SUPERVISOR DE EQUIPE;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;PAI  - PROGRAMA DE ACOMPANHANTE DE IDOSO;MAR 2020;TÉCNICO DE ENFERMAGEM;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;ASSISTENTE SOCIAL;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;AUXILIAR DE SAÚDE BUCAL;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;AUXILIAR DE SAÚDE BUCAL;40;2;80;;2;;80;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;DENTISTA;20;5;100;;5;;100;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;ENFERMEIRO;40;5;200;;5;;200;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO CLÍNICO;20;6;120;;5;;100;-20
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO GINECOLOGISTA E OBSTETRA;20;1;20;1;;;20;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO PEDIATRA;20;2;40;;1;;20;-20
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;MÉDICO PSIQUIATRA;20;1;20;;0;;0;-20
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;PSICÓLOGO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMA/UBS INTEGRADA WAMBERTO DIAS DA COSTA;UBS - UNIDADE BÁSICA DE SAÚDE;MAR 2020;TÉCNICO DE ENFERMAGEM;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMB ESPEC TUCURUVI - PROF. ARMANDO DE AGUIAR PUPO ;APD - ACOMPANHANTE COMUNITÁRIO DE PESSOA COM DEFICIÊNCIA;MAR 2020;ACOMPANHANTE DA PESSOA COM DEFICIÊNCIA;40;6;240;;5;;200;-40
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMB ESPEC TUCURUVI - PROF. ARMANDO DE AGUIAR PUPO ;APD - ACOMPANHANTE COMUNITÁRIO DE PESSOA COM DEFICIÊNCIA;MAR 2020;ENFERMEIRO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMB ESPEC TUCURUVI - PROF. ARMANDO DE AGUIAR PUPO ;APD - ACOMPANHANTE COMUNITÁRIO DE PESSOA COM DEFICIÊNCIA;MAR 2020;FONOAUDIÓLOGO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMB ESPEC TUCURUVI - PROF. ARMANDO DE AGUIAR PUPO ;APD - ACOMPANHANTE COMUNITÁRIO DE PESSOA COM DEFICIÊNCIA;MAR 2020;PSICÓLOGO;40;1;40;;1;;40;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;AMB ESPEC TUCURUVI - PROF. ARMANDO DE AGUIAR PUPO ;APD - ACOMPANHANTE COMUNITÁRIO DE PESSOA COM DEFICIÊNCIA;MAR 2020;TERAPEUTA OCUPACIONAL;30;1;30;;1;;30;0
REDE ASSIST. STS SANTANA /TUCURUVI/JAÇANÃ/TREMEMBÉ - TA-029/2020;INSTITUTO DE ATENÇÃO BÁSICA E AVANÇADA A SAÚDE - IABAS;CAPS ADULTO II DR. LEONIDIO GALVÃO DOS SANTOS (JAÇANÃ/ TREMEMBÉ);CAPS II ADULTO;MAR 2020;ASSISTENTE SOCIAL;30;1;30;;1;;30;0
